Date,Precip,New Snow,Precip_bool,new_snow_bool,rain_bool
1/1/2017,T,0,0,0,0
1/2/2017,0.31,T,1,0,1
1/3/2017,0.46,0,1,0,1
1/4/2017,T,0,0,0,0
1/5/2017,T,T,0,0,0
1/6/2017,0.03,1.1,1,1,0
1/7/2017,0.22,8.2,1,1,0
1/8/2017,T,T,0,0,0
1/9/2017,0,0,0,0,0
1/10/2017,0,0,0,0,0
1/11/2017,0.46,0,1,0,1
1/12/2017,0.1,0,1,0,1
1/13/2017,0,0,0,0,0
1/14/2017,0.15,1.8,1,1,0
1/15/2017,0,0,0,0,0
1/16/2017,0,0,0,0,0
1/17/2017,0.59,0,1,0,1
1/18/2017,0.09,0,1,0,1
1/19/2017,0,0,0,0,0
1/20/2017,0.08,0,1,0,1
1/21/2017,0,0,0,0,0
1/22/2017,0.01,0,1,0,1
1/23/2017,0.84,0,1,0,1
1/24/2017,1.22,0,1,0,1
1/25/2017,0,0,0,0,0
1/26/2017,0.03,0,1,0,1
1/27/2017,T,T,0,0,0
1/28/2017,T,T,0,0,0
1/29/2017,0,0,0,0,0
1/30/2017,0,0,0,0,0
1/31/2017,0.05,0.6,1,1,0
2/1/2017,0,0,0,0,0
2/2/2017,T,T,0,0,0
2/3/2017,0,0,0,0,0
2/4/2017,0,0,0,0,0
2/5/2017,0,0,0,0,0
2/6/2017,0,0,0,0,0
2/7/2017,0.1,0,1,0,1
2/8/2017,T,0,0,0,0
2/9/2017,0.74,8.3,1,1,0
2/10/2017,T,T,0,0,0
2/11/2017,0,0,0,0,0
2/12/2017,0.4,0.1,1,1,0
2/13/2017,T,0,0,0,0
2/14/2017,0,0,0,0,0
2/15/2017,T,0,0,0,0
2/16/2017,0,0,0,0,0
2/17/2017,0,0,0,0,0
2/18/2017,0,0,0,0,0
2/19/2017,0,0,0,0,0
2/20/2017,0,0,0,0,0
2/21/2017,0,0,0,0,0
2/22/2017,0,0,0,0,0
2/23/2017,T,0,0,0,0
2/24/2017,0,0,0,0,0
2/25/2017,0.34,0,1,0,1
2/26/2017,0,0,0,0,0
2/27/2017,0,0,0,0,0
2/28/2017,0,0,0,0,0
3/1/2017,0.01,0,1,0,1
3/2/2017,0,0,0,0,0
3/3/2017,0,0,0,0,0
3/4/2017,0,0,0,0,0
3/5/2017,0,0,0,0,0
3/6/2017,T,0,0,0,0
3/7/2017,0.11,0,1,0,1
3/8/2017,0.05,0,1,0,1
3/9/2017,0,0,0,0,0
3/10/2017,0.26,2.4,1,1,0
3/11/2017,T,T,0,0,0
3/12/2017,0,0,0,0,0
3/13/2017,T,T,0,0,0
3/14/2017,1.94,5.1,1,1,0
3/15/2017,T,T,0,0,0
3/16/2017,0,0,0,0,0
3/17/2017,0,0,0,0,0
3/18/2017,0.07,T,1,0,1
3/19/2017,0,0,0,0,0
3/20/2017,0,0,0,0,0
3/21/2017,0,0,0,0,0
3/22/2017,0,0,0,0,0
3/23/2017,0,0,0,0,0
3/24/2017,T,0,0,0,0
3/25/2017,0.01,0,1,0,1
3/26/2017,0.14,0,1,0,1
3/27/2017,0.19,0,1,0,1
3/28/2017,0.93,0,1,0,1
3/29/2017,0,0,0,0,0
3/30/2017,0.01,0,1,0,1
3/31/2017,2.07,0,1,0,1
4/1/2017,0.01,0,1,0,1
4/2/2017,0,0,0,0,0
4/3/2017,0.03,0,1,0,1
4/4/2017,1.05,0,1,0,1
4/5/2017,T,0,0,0,0
4/6/2017,0.96,0,1,0,1
4/7/2017,T,0,0,0,0
4/8/2017,0,0,0,0,0
4/9/2017,0,0,0,0,0
4/10/2017,0,0,0,0,0
4/11/2017,0,0,0,0,0
4/12/2017,0.05,0,1,0,1
4/13/2017,0,0,0,0,0
4/14/2017,0,0,0,0,0
4/15/2017,T,0,0,0,0
4/16/2017,0.01,0,1,0,1
4/17/2017,T,0,0,0,0
4/18/2017,0,0,0,0,0
4/19/2017,T,0,0,0,0
4/20/2017,0.17,0,1,0,1
4/21/2017,0.03,0,1,0,1
4/22/2017,0.11,0,1,0,1
4/23/2017,0,0,0,0,0
4/24/2017,0.01,0,1,0,1
4/25/2017,0.98,0,1,0,1
4/26/2017,0.48,0,1,0,1
4/27/2017,0.01,0,1,0,1
4/28/2017,T,0,0,0,0
4/29/2017,0.16,0,1,0,1
4/30/2017,T,0,0,0,0
5/1/2017,T,0,0,0,0
5/2/2017,0.02,0,1,0,1
5/3/2017,0,0,0,0,0
5/4/2017,0,0,0,0,0
5/5/2017,1.78,0,1,0,1
